subj_name = 02463d548, labels = 3
subj_name = 02463d550, labels = 2
subj_name = 02463d552, labels = 3
subj_name = 02463d554, labels = 2
subj_name = 02463d556, labels = 3
subj_name = 02463d558, labels = 0
subj_name = 02463d560, labels = 3
subj_name = 02463d562, labels = 3
subj_name = 02463d652, labels = 3
subj_name = 02463d654, labels = 3
subj_name = 02463d656, labels = 3
subj_name = 02463d658, labels = 3
subj_name = 02463d660, labels = 2
subj_name = 02463d662, labels = 3
subj_name = 02463d664, labels = 2
subj_name = 02463d666, labels = 3
subj_name = 02463d668, labels = 3
subj_name = 02463d670, labels = 3
subj_name = 02463d672, labels = 3
subj_name = 02463d674, labels = 3
-------------------------------------------
subj_name = 04200d74 , labels = 0
-------------------------------------------
subj_name = 04201d368, labels = 3
subj_name = 04201d370, labels = 2
subj_name = 04201d372, labels = 3
subj_name = 04201d374, labels = 3
subj_name = 04201d376, labels = 3
subj_name = 04201d378, labels = 3
subj_name = 04201d434, labels = 3
subj_name = 04201d436, labels = 2
subj_name = 04201d438, labels = 3
subj_name = 04201d442, labels = 3
subj_name = 04201d444, labels = 2
-------------------------------------------
subj_name = 04202d438, labels = 1
subj_name = 04202d440, labels = 1
subj_name = 04202d442, labels = 1
subj_name = 04202d444, labels = 1
subj_name = 04202d446, labels = 1
subj_name = 04202d448, labels = 1
subj_name = 04202d450, labels = 1
subj_name = 04202d452, labels = 1
subj_name = 04202d454, labels = 1
subj_name = 04202d456, labels = 1
subj_name = 04202d552, labels = 1
subj_name = 04202d554, labels = 1
subj_name = 04202d556, labels = 1
subj_name = 04202d558, labels = 1
subj_name = 04202d560, labels = 1
subj_name = 04202d562, labels = 1
subj_name = 04202d564, labels = 1
subj_name = 04202d566, labels = 0
subj_name = 04202d568, labels = 1
subj_name = 04202d570, labels = 1
subj_name = 04202d572, labels = 1
subj_name = 04202d574, labels = 1
-------------------------------------------
subj_name = 04203d436, labels = 0
subj_name = 04203d438, labels = 1
subj_name = 04203d440, labels = 0
subj_name = 04203d442, labels = 0
subj_name = 04203d444, labels = 0
subj_name = 04203d446, labels = 0
subj_name = 04203d448, labels = 0
subj_name = 04203d450, labels = 0
subj_name = 04203d452, labels = 1
subj_name = 04203d536, labels = 0
subj_name = 04203d538, labels = 0
subj_name = 04203d540, labels = 1
subj_name = 04203d542, labels = 1
subj_name = 04203d546, labels = 1
subj_name = 04203d548, labels = 0
subj_name = 04203d550, labels = 0
subj_name = 04203d552, labels = 0
subj_name = 04203d554, labels = 0
subj_name = 04203d556, labels = 1
-------------------------------------------
subj_name = 04213d280, labels = 0
subj_name = 04213d282, labels = 1
subj_name = 04213d338, labels = 1
subj_name = 04213d340, labels = 4
subj_name = 04213d344, labels = 1
subj_name = 04213d348, labels = 4
-------------------------------------------
subj_name = 04214d155, labels = 2
-------------------------------------------
subj_name = 04217d399, labels = 0
subj_name = 04217d401, labels = 0
subj_name = 04217d403, labels = 1
subj_name = 04217d405, labels = 1
subj_name = 04217d407, labels = 1
subj_name = 04217d409, labels = 1
subj_name = 04217d411, labels = 1
subj_name = 04217d413, labels = 1
subj_name = 04217d455, labels = 1
subj_name = 04217d457, labels = 1
subj_name = 04217d459, labels = 1
subj_name = 04217d461, labels = 1
subj_name = 04217d463, labels = 1
-------------------------------------------
